25	25	240
10	65	-1	-1	35	171	-1	-1	0	2	-1	-1	138	-1	-1	89	180	-1	-1	-1	-1	-1	-1	-1	-1	
-1	110	151	-1	-1	-1	0	-1	-1	-1	-1	156	225	-1	36	131	-1	-1	210	126	-1	-1	-1	-1	-1	
189	-1	202	214	177	-1	-1	-1	3	219	4	0	1	-1	-1	-1	-1	-1	-1	-1	-1	-1	232	99	92	
154	120	-1	-1	-1	187	-1	-1	-1	56	-1	8	-1	79	-1	-1	-1	78	158	0	-1	-1	-1	-1	63	
-1	-1	3	171	-1	1	43	81	-1	-1	1	37	160	-1	-1	115	-1	-1	-1	-1	-1	-1	-1	230	-1	
-1	-1	-1	-1	-1	-1	-1	-1	-1	1	-1	34	-1	190	-1	-1	-1	-1	0	8	62	207	40	182	-1	
99	-1	-1	0	9	-1	-1	-1	-1	-1	-1	-1	183	-1	139	233	62	216	223	-1	-1	-1	-1	109	-1	
-1	-1	-1	-1	-1	-1	-1	166	4	-1	4	-1	204	-1	16	-1	-1	-1	0	3	6	37	1	-1	71	
-1	-1	153	-1	-1	160	-1	-1	29	49	-1	163	-1	0	-1	183	131	90	-1	-1	-1	-1	-1	-1	-1	
-1	6	128	-1	18	-1	221	4	154	-1	1	-1	-1	-1	-1	-1	122	164	-1	-1	-1	-1	-1	-1	123	
2	204	56	-1	105	44	215	152	-1	-1	142	-1	-1	-1	170	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
-1	220	-1	-1	-1	31	78	-1	165	-1	131	-1	42	32	-1	-1	83	-1	40	-1	-1	65	68	121	38	
-1	55	-1	109	-1	-1	118	-1	93	-1	-1	-1	-1	-1	-1	83	78	116	65	-1	179	-1	-1	-1	-1	
104	32	-1	-1	-1	-1	-1	-1	187	0	162	-1	-1	-1	-1	-1	173	-1	-1	169	47	116	-1	-1	206	
-1	-1	69	164	-1	225	-1	234	-1	219	-1	180	91	-1	95	204	-1	-1	-1	-1	1	16	193	81	158	
125	-1	-1	-1	-1	169	-1	144	-1	-1	0	-1	-1	-1	178	-1	-1	-1	-1	206	218	53	10	-1	-1	
87	181	77	-1	220	-1	-1	44	-1	-1	-1	-1	-1	-1	-1	-1	223	90	76	180	-1	-1	-1	-1	-1	
-1	-1	-1	205	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	70	131	7	1	5	142	
-1	-1	121	-1	122	221	16	63	-1	-1	88	-1	-1	228	-1	58	58	-1	-1	-1	-1	43	195	147	191	
171	-1	-1	198	-1	-1	-1	82	82	-1	-1	-1	-1	-1	-1	-1	213	165	-1	-1	96	227	145	-1	78	
-1	-1	-1	170	-1	-1	208	52	105	146	230	49	139	203	-1	-1	-1	-1	-1	-1	-1	-1	-1	123	-1	
-1	-1	-1	167	31	-1	-1	-1	-1	-1	-1	-1	-1	98	83	33	-1	165	-1	85	149	147	213	121	-1	
134	-1	-1	-1	4	-1	-1	-1	-1	214	-1	-1	-1	154	198	-1	-1	195	109	148	234	-1	-1	-1	-1	
-1	54	-1	-1	28	157	43	-1	-1	-1	-1	25	55	85	73	-1	-1	108	-1	-1	-1	-1	-1	-1	-1	
-1	-1	216	134	-1	-1	214	-1	-1	147	-1	36	-1	75	12	180	-1	-1	193	-1	-1	-1	-1	-1	-1	

